time,result
2024-12-11 12:10:38,lose
2024-12-11 12:13:38,lose
2024-12-11 12:15:38,lose
2024-12-11 12:16:38,lose
2024-12-11 12:18:38,win
2024-12-11 12:21:38,win
2024-12-11 12:22:38,win
2024-12-11 12:24:38,lose
2024-12-11 12:25:38,lose
2024-12-11 12:27:38,win
2024-12-11 12:28:38,win
2024-12-11 12:31:38,win
2024-12-11 12:34:38,win
2024-12-11 12:36:38,lose
2024-12-11 12:37:39,win
2024-12-11 12:40:38,win
2024-12-11 12:43:38,win
2024-12-11 12:45:39,win
2024-12-11 12:48:39,win
2024-12-11 12:49:38,win
2024-12-11 12:51:38,lose
2024-12-11 12:54:39,lose
2024-12-11 12:55:38,win
2024-12-11 12:57:38,lose
2024-12-11 12:58:38,lose
2024-12-11 13:00:55,lose
2024-12-11 13:01:38,lose
2024-12-11 13:03:38,lose
2024-12-11 13:04:38,win
2024-12-11 13:06:38,lose
2024-12-11 13:07:39,win
2024-12-11 13:09:38,win
2024-12-11 13:10:38,win
2024-12-11 13:12:38,win
2024-12-11 13:13:38,win
2024-12-11 13:15:38,win
2024-12-11 13:16:38,win
2024-12-11 13:18:38,lose
2024-12-11 13:19:38,lose
2024-12-11 13:32:04,win
2024-12-11 13:33:06,win
2024-12-11 13:34:33,lose
2024-12-11 13:36:03,win
2024-12-11 13:37:32,lose
2024-12-11 13:39:07,win
2024-12-11 13:40:37,lose
2024-12-11 13:42:07,win
2024-12-11 13:43:36,lose
2024-12-11 13:45:07,win
2024-12-11 13:46:37,lose
2024-12-11 13:48:02,win
2024-12-11 13:49:37,lose
2024-12-11 13:51:08,lose
2024-12-11 13:52:37,win
2024-12-11 13:54:08,win
2024-12-11 13:55:36,win
2024-12-11 13:57:07,win
2024-12-11 13:58:37,lose
2024-12-11 14:00:07,lose
2024-12-11 14:01:32,lose
2024-12-11 14:03:02,lose
2024-12-11 14:04:31,win
2024-12-11 14:06:04,win
2024-12-11 14:07:33,lose
2024-12-11 14:09:03,lose
2024-12-11 14:10:37,win
2024-12-11 14:12:03,win
2024-12-11 14:13:38,win
2024-12-11 14:15:08,lose
2024-12-11 14:16:38,lose
2024-12-11 14:18:08,lose
2024-12-11 14:19:38,lose
2024-12-11 14:21:07,win
2024-12-11 14:22:33,win
2024-12-11 14:24:08,lose
2024-12-11 14:25:38,win
2024-12-11 14:27:07,lose
2024-12-11 14:28:37,lose
2024-12-11 14:30:02,win
2024-12-11 14:31:33,lose
2024-12-11 14:33:03,lose
2024-12-11 14:34:33,lose
2024-12-11 14:36:04,win
2024-12-11 14:37:37,win
2024-12-11 14:39:02,win
2024-12-11 14:40:32,win
2024-12-11 14:42:02,win
2024-12-11 14:43:38,lose
2024-12-11 14:45:03,win
2024-12-11 14:46:33,win
2024-12-11 14:48:07,win
2024-12-11 14:49:32,lose
2024-12-11 14:51:07,win
2024-12-11 14:52:38,lose
2024-12-11 14:54:03,win
2024-12-11 14:55:37,lose
2024-12-11 14:57:08,lose
2024-12-11 14:58:38,win
2024-12-11 15:00:06,lose
2024-12-11 15:01:32,lose
2024-12-11 15:03:02,lose
2024-12-11 15:04:33,lose
2024-12-11 15:06:03,lose
2024-12-11 15:07:37,lose
2024-12-11 15:09:03,lose
2024-12-11 15:10:33,lose
2024-12-11 15:12:07,lose
2024-12-11 15:13:33,lose
2024-12-11 15:15:03,lose
2024-12-11 15:16:33,lose
2024-12-11 15:18:04,win
2024-12-11 15:19:36,win
2024-12-11 15:21:08,lose
2024-12-11 15:22:37,lose
2024-12-11 15:24:03,lose
2024-12-11 15:25:39,win
2024-12-11 15:27:08,lose
2024-12-11 15:28:32,lose
2024-12-11 15:30:02,win
2024-12-11 15:31:34,lose
2024-12-11 15:33:02,lose
2024-12-11 15:34:33,win
2024-12-11 15:34:45,win
2024-12-11 15:36:03,lose
2024-12-11 15:37:32,lose
2024-12-11 15:39:03,lose
2024-12-11 15:40:37,win
2024-12-11 15:42:03,lose
2024-12-11 15:43:32,win
2024-12-11 15:45:03,lose
2024-12-11 15:46:32,win
2024-12-11 15:48:03,win
2024-12-11 15:49:37,win
2024-12-11 15:51:08,lose
2024-12-11 15:52:38,lose
2024-12-11 15:54:09,lose
2024-12-11 15:55:38,win
2024-12-11 15:57:08,lose
2024-12-11 15:58:32,win
2024-12-11 16:00:02,win
2024-12-11 16:01:32,win
2024-12-11 16:03:03,lose
2024-12-11 16:04:37,win
2024-12-11 16:06:03,win
2024-12-11 16:07:32,lose
2024-12-11 16:09:03,win
2024-12-11 16:10:37,lose
2024-12-11 16:12:04,lose
2024-12-11 16:13:32,lose
2024-12-11 16:15:04,lose
2024-12-11 16:16:38,lose
2024-12-11 16:18:03,lose
2024-12-11 16:19:37,lose
2024-12-11 16:21:03,lose
2024-12-11 16:22:38,lose
2024-12-11 16:24:04,win
2024-12-11 16:25:38,lose
2024-12-11 16:27:03,lose
2024-12-11 16:28:31,lose
2024-12-11 16:30:02,win
2024-12-11 16:31:33,win
2024-12-11 16:33:03,lose
2024-12-11 16:34:31,lose
2024-12-11 16:36:03,win
2024-12-11 16:37:38,lose
2024-12-11 16:39:07,win
2024-12-11 16:40:37,lose
2024-12-11 16:42:03,win
2024-12-11 16:43:38,win
2024-12-11 16:45:07,win
2024-12-11 16:46:34,win
2024-12-11 16:48:03,win
2024-12-11 16:49:38,win
2024-12-11 16:51:09,lose
2024-12-11 16:52:38,lose
2024-12-11 16:54:08,lose
2024-12-11 16:55:33,win
2024-12-11 16:57:02,lose
2024-12-11 16:58:31,lose
2024-12-11 17:00:01,win
2024-12-11 17:01:33,lose
2024-12-11 17:03:03,win
2024-12-11 17:04:32,lose
2024-12-11 17:06:05,win
2024-12-11 17:07:31,lose
2024-12-11 17:09:08,lose
2024-12-11 17:10:37,win
2024-12-11 17:12:03,lose
2024-12-11 17:13:33,lose
2024-12-11 17:15:04,win
2024-12-11 17:16:37,win
2024-12-11 17:18:08,win
2024-12-11 17:19:33,lose
2024-12-11 17:21:02,lose
2024-12-11 17:22:34,win
2024-12-11 17:24:03,win
2024-12-11 17:25:33,lose
2024-12-11 17:27:07,lose
2024-12-11 17:28:32,win
2024-12-11 17:30:02,win
2024-12-11 17:31:33,win
2024-12-11 17:33:03,lose
2024-12-11 17:34:33,lose
2024-12-11 17:36:03,win
2024-12-11 17:37:32,lose
2024-12-11 17:39:02,win
2024-12-11 17:40:37,lose
2024-12-11 17:42:08,lose
2024-12-11 17:43:38,win
2024-12-11 17:45:08,lose
2024-12-11 17:46:37,lose
2024-12-11 17:48:03,win
2024-12-11 17:49:32,lose
2024-12-11 17:51:03,lose
2024-12-11 17:52:33,lose
2024-12-11 17:54:02,lose
2024-12-11 17:55:36,win
2024-12-11 17:57:10,lose
2024-12-11 17:58:34,win
2024-12-11 18:00:04,win
2024-12-11 18:01:33,win
2024-12-11 18:03:07,lose
2024-12-11 18:04:33,lose
2024-12-11 18:06:08,lose
2024-12-11 18:07:38,lose
2024-12-11 18:09:04,lose
2024-12-11 18:10:38,lose
2024-12-11 18:12:07,lose
2024-12-11 18:13:38,lose
2024-12-11 18:15:08,win
2024-12-11 18:16:38,lose
2024-12-11 18:18:03,win
2024-12-11 18:19:33,win
2024-12-11 18:21:03,lose
2024-12-11 18:22:32,lose
2024-12-11 18:24:03,lose
2024-12-11 18:25:33,lose
2024-12-11 18:27:03,lose
2024-12-11 18:28:33,lose
2024-12-11 18:30:07,win
2024-12-11 18:31:32,lose
2024-12-11 18:33:07,lose
2024-12-11 18:34:39,lose
2024-12-11 18:36:04,win
2024-12-11 18:37:33,lose
2024-12-11 18:39:03,lose
2024-12-11 18:40:35,win
2024-12-11 18:42:06,win
2024-12-11 18:43:46,lose
2024-12-11 18:45:03,win
2024-12-11 18:46:32,win
2024-12-11 18:48:02,win
2024-12-11 18:49:33,win
2024-12-11 18:51:03,lose
2024-12-11 18:52:37,lose
2024-12-11 18:54:02,lose
2024-12-11 18:55:32,lose
2024-12-11 18:57:04,lose
2024-12-11 18:58:32,lose
2024-12-11 19:00:07,lose
2024-12-11 19:01:38,lose
2024-12-11 19:03:04,lose
2024-12-11 19:04:34,win
2024-12-11 19:06:07,lose
2024-12-11 19:07:37,win
2024-12-11 19:09:08,win
2024-12-11 19:10:37,win
2024-12-11 19:12:03,lose
2024-12-11 19:13:39,win
2024-12-11 19:15:08,lose
2024-12-11 19:16:31,lose
2024-12-11 19:18:07,lose
2024-12-11 19:19:32,lose
2024-12-11 19:21:02,lose
2024-12-11 19:22:33,win
2024-12-11 19:24:02,lose
2024-12-11 19:25:33,win
2024-12-11 19:27:02,lose
2024-12-11 19:28:38,win
2024-12-11 19:30:08,lose
2024-12-11 19:31:37,lose
2024-12-11 19:33:08,win
2024-12-11 19:34:37,win
2024-12-11 19:36:07,lose
2024-12-11 19:37:37,win
2024-12-11 19:39:09,win
2024-12-11 19:40:38,lose
2024-12-11 19:42:03,lose
2024-12-11 19:43:33,win
2024-12-11 19:45:02,lose
2024-12-11 19:46:32,win
2024-12-11 19:48:02,lose
2024-12-11 19:49:32,win
2024-12-11 19:51:02,lose
2024-12-11 19:52:37,lose
2024-12-11 19:54:03,win
2024-12-11 19:55:37,lose
